PDE,BC,IC,Data
11829.1025390625,11278.0224609375,74669.359375,23437.666015625
10522.412109375,10558.93359375,74647.0,23433.09765625
2550.349609375,5548.4765625,74449.609375,23392.447265625
627.0112915039062,1130.21484375,74126.953125,23275.515625
564.2803344726562,391.6917724609375,73880.359375,23136.80078125
266.46710205078125,1103.1236572265625,72881.734375,22588.62109375
541.9946899414062,1750.4619140625,69850.328125,20960.2578125
16965.296875,6772.7080078125,60274.9140625,15962.580078125
12360.2685546875,38119.16796875,61801.9765625,17189.8203125
2646.7529296875,7256.68017578125,58212.703125,15032.05078125
972.0159912109375,2595.11279296875,58141.65625,15027.8955078125
2687.329833984375,1792.0557861328125,57743.51171875,14844.4931640625
386.8488464355469,1215.242431640625,57677.92578125,14774.138671875
241.6891326904297,599.069580078125,57623.890625,14756.08984375
229.24472045898438,346.7792663574219,57247.953125,14586.71484375
518.1309204101562,1303.142333984375,55848.3046875,13937.7646484375
700.37255859375,3005.8447265625,50979.28125,11769.8369140625
8573.9736328125,10642.8740234375,37581.375,6313.630859375
11656.6142578125,29723.671875,36755.0859375,6270.861328125
17572.072265625,7785.5185546875,33511.09375,5100.5771484375
2537.9658203125,5033.04541015625,34796.14453125,5438.359375
915.8410034179688,5926.20849609375,32748.9375,4747.380859375
5026.576171875,10336.296875,29721.8125,3904.8310546875
1978.9229736328125,9475.650390625,25103.75,2699.99169921875
3046.151611328125,7731.6279296875,22428.103515625,2160.796142578125
3046.151611328125,7731.6279296875,22428.103515625,2160.796142578125
14780.1171875,6567.29052734375,16610.541015625,1492.502685546875
1925.1719970703125,1825.7344970703125,14256.74609375,1510.271728515625
1255.6390380859375,1185.580322265625,14717.126953125,1484.6982421875
938.8651123046875,638.6475219726562,13531.3486328125,1526.2835693359375
515.2926025390625,395.61114501953125,12566.931640625,1615.0137939453125
334.7934875488281,349.9322509765625,12520.90625,1613.161865234375
254.09176635742188,334.1225280761719,12703.708984375,1581.8948974609375
225.21676635742188,370.4787292480469,13103.41015625,1506.5035400390625
166.96029663085938,284.9397888183594,12971.171875,1497.7611083984375
192.78257751464844,304.75701904296875,12326.564453125,1501.65966796875
205.1894989013672,334.508056640625,11681.2587890625,1528.3048095703125
260.0372009277344,669.694091796875,11872.05859375,1445.0908203125
164.0493927001953,394.9292297363281,11839.953125,1438.87841796875
165.71934509277344,350.2953186035156,12035.81640625,1405.48583984375
156.29342651367188,291.22320556640625,12351.63671875,1349.68408203125
215.0753936767578,218.8512725830078,12320.810546875,1319.5679931640625
189.93289184570312,390.4180908203125,11748.712890625,1308.447509765625
470.05267333984375,504.6945495605469,11580.3720703125,1261.424072265625
456.6388854980469,426.1127014160156,11004.5380859375,1285.4901123046875
277.1406555175781,368.6463623046875,10349.1513671875,1352.2406005859375
277.1406555175781,368.6463623046875,10349.1513671875,1352.2406005859375
358.09246826171875,318.45819091796875,10371.3515625,1323.2315673828125
683.6466674804688,436.87005615234375,10508.6337890625,1230.7666015625
684.2686157226562,654.4374389648438,10611.783203125,1152.53564453125
965.8607177734375,658.4383544921875,10381.8515625,1075.125732421875
1104.720458984375,1144.0618896484375,9116.4052734375,1120.5440673828125
1022.9087524414062,725.49609375,9642.29296875,1086.736083984375
1004.2506103515625,807.0769653320312,8981.7314453125,1107.4814453125
873.4801635742188,596.461669921875,8980.5458984375,1097.9425048828125
850.9962158203125,678.3854370117188,9079.576171875,1041.747314453125
908.8704223632812,528.1799926757812,8989.4462890625,965.00439453125
473.5072326660156,796.7232666015625,8202.6494140625,856.706787109375
1523.5316162109375,5464.0341796875,7714.298828125,682.9396362304688
544.1071166992188,1049.0311279296875,7809.1259765625,744.7066650390625
1113.4527587890625,1719.982666015625,7104.0087890625,783.0022583007812
514.382568359375,875.392822265625,7555.681640625,752.3855590820312
1178.3065185546875,2141.574462890625,5974.53759765625,722.6511840820312
