0.374540 0.031429 0.642032 0.051682 275.555809
0.950714 0.636410 0.084140 0.531355 273.718089
0.731994 0.314356 0.161629 0.540635 276.999016
0.598658 0.508571 0.898554 0.637430 278.282625
0.156019 0.907566 0.606429 0.726091 274.554217
0.155995 0.249292 0.009197 0.975852 273.583940
0.058084 0.410383 0.101472 0.516300 273.944103
0.866176 0.755551 0.663502 0.322956 276.557014
0.601115 0.228798 0.005062 0.795186 274.162971
0.708073 0.076980 0.160808 0.270832 274.280676
0.020584 0.289751 0.548734 0.438971 275.111561
0.969910 0.161221 0.691895 0.078456 273.908308
0.832443 0.929698 0.651961 0.025351 274.414188
0.212339 0.808120 0.224269 0.962648 275.467584
0.181825 0.633404 0.712179 0.835980 278.467572
0.183405 0.871461 0.237249 0.695974 274.408122
0.304242 0.803672 0.325400 0.408953 279.469808
0.524756 0.186570 0.746491 0.173294 279.769408
0.431945 0.892559 0.649633 0.156437 278.461571
0.291229 0.539342 0.849223 0.250243 279.356559
0.611853 0.807440 0.657613 0.549227 280.930043
0.139494 0.896091 0.568309 0.714596 274.617236
0.292145 0.318003 0.093675 0.660197 275.606274
0.366362 0.110052 0.367716 0.279934 278.206757
0.456070 0.227935 0.265202 0.954865 281.011894
0.785176 0.427108 0.243990 0.737897 279.046500
0.199674 0.818015 0.973011 0.554354 273.606782
0.514234 0.860731 0.393098 0.611721 279.949669
0.592415 0.006952 0.892047 0.419600 273.696122
0.046450 0.510747 0.631139 0.247731 276.697693
0.607545 0.417411 0.794811 0.355973 284.439718
0.170524 0.222108 0.502637 0.757846 277.362760
0.065052 0.119865 0.576904 0.014393 274.164323
0.948886 0.337615 0.492518 0.116073 276.425518
0.965632 0.942910 0.195243 0.046003 273.346069
0.808397 0.323203 0.722452 0.040729 278.449878
0.304614 0.518791 0.280772 0.855461 284.775280
0.097672 0.703019 0.024316 0.703658 273.520429
0.684233 0.363630 0.645472 0.474174 287.738235
0.440152 0.971782 0.177111 0.097834 274.315432
0.122038 0.962447 0.940459 0.491616 273.272369
0.495177 0.251782 0.953929 0.473472 275.247588
0.034389 0.497249 0.914864 0.173202 273.818267
0.909320 0.300878 0.370159 0.433852 276.470998
0.258780 0.284840 0.015457 0.398505 274.218652
0.662522 0.036887 0.928319 0.615850 273.552086
0.311711 0.609564 0.428184 0.635094 289.545977
0.520068 0.502679 0.966655 0.045304 276.630328
0.546710 0.051479 0.963620 0.374613 273.640031
0.184854 0.278646 0.853009 0.625860 274.968759
0.969585 0.908266 0.294449 0.503136 273.558528
0.775133 0.239562 0.385098 0.856490 278.917425
0.939499 0.144895 0.851137 0.658694 273.478871
0.894827 0.489453 0.316922 0.162934 278.043841
0.597900 0.985650 0.169493 0.070569 274.051627
0.921874 0.242055 0.556801 0.642419 275.472346
0.088493 0.672136 0.936155 0.026511 273.772284
0.195983 0.761620 0.696030 0.585776 277.028782
0.045227 0.237638 0.570061 0.940230 274.897562
0.325330 0.728216 0.097176 0.575474 275.624078
0.388677 0.367783 0.615007 0.388170 293.905518
0.271349 0.632306 0.990054 0.643288 274.396347
0.828738 0.633530 0.140084 0.458253 275.542687
0.356753 0.535775 0.518330 0.545617 296.513264
0.280935 0.090290 0.877373 0.941465 273.954088
0.542696 0.835302 0.740769 0.386103 278.861846
0.140924 0.320780 0.697016 0.961191 277.117172
0.802197 0.186519 0.702484 0.905351 275.972452
0.074551 0.040775 0.359491 0.195791 273.685207
0.986887 0.590893 0.293592 0.069361 274.906455
0.772245 0.677564 0.809361 0.100778 277.392614
0.198716 0.016588 0.810113 0.018222 273.602150
0.005522 0.512093 0.867072 0.094443 273.862940
0.815461 0.226496 0.913241 0.683007 274.014682
0.706857 0.645173 0.511342 0.071189 289.654006
0.729007 0.174366 0.501516 0.318976 279.857520
0.771270 0.690938 0.798295 0.844875 276.910574
0.074045 0.386735 0.649964 0.023272 276.633725
0.358466 0.936730 0.701967 0.814468 275.351704
0.115869 0.137521 0.795793 0.281855 273.993902
0.863103 0.341066 0.890005 0.118165 274.604319
0.623298 0.113474 0.337995 0.696737 277.178826
0.330898 0.924694 0.375583 0.628943 276.099399
0.063558 0.877339 0.093982 0.877472 273.342412
0.310982 0.257942 0.578280 0.735071 283.043204
0.325183 0.659984 0.035942 0.803481 274.948546
0.729606 0.817222 0.465598 0.282035 280.174095
0.637557 0.555201 0.542645 0.177440 298.922325
0.887213 0.529651 0.286541 0.750615 276.938851
0.472215 0.241852 0.590833 0.806835 285.908436
0.119594 0.093103 0.030500 0.990505 273.297811
0.713245 0.897216 0.037348 0.412618 273.636297
0.760785 0.900418 0.822601 0.372018 274.307890
0.561277 0.633101 0.360191 0.776413 291.092762
0.770967 0.339030 0.127061 0.340804 276.147622
0.493796 0.349210 0.522243 0.930757 295.919603
0.522733 0.725956 0.769994 0.858413 281.119631
0.427541 0.897110 0.215821 0.428994 275.885723
0.025419 0.887086 0.622890 0.750871 273.695632
0.107891 0.779876 0.085347 0.754543 273.625076
