# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.889370828866958618e-02 3.846432209014892578e+00 8.436796069145202637e-01 1.100152611732482910e+00 7.620175182819366455e-02 3.846432209014892578e+00 8.436796069145202637e-01 1.100152611732482910e+00
1.000000000000000000e+03 2.346597844734787941e-03 3.476552137726685032e-06 3.040868905372917652e-04 6.865642499178647995e-04 2.299930900335311890e-03 3.476552137726685032e-06 3.040868905372917652e-04 6.865642499178647995e-04
2.000000000000000000e+03 1.827146043069660664e-03 3.991990524809807539e-06 1.452463911846280098e-04 4.904045490548014641e-04 1.828718930482864380e-03 3.991990524809807539e-06 1.452463911846280098e-04 4.904045490548014641e-04
3.000000000000000000e+03 5.102205905131995678e-04 1.194830019812798128e-06 4.345848719822242856e-05 1.920966169564053416e-04 5.158481071703135967e-04 1.194830019812798128e-06 4.345848719822242856e-05 1.920966169564053416e-04
4.000000000000000000e+03 1.865792000899091363e-04 6.246000339160673320e-07 1.416075247107073665e-05 7.194988575065508485e-05 1.903813972603529692e-04 6.246000339160673320e-07 1.416075247107073665e-05 7.194988575065508485e-05
5.000000000000000000e+03 1.104030234273523092e-04 3.043857077500433661e-07 8.617566891189198941e-06 4.176303264102898538e-05 1.137305516749620438e-04 3.043857077500433661e-07 8.617566891189198941e-06 4.176303264102898538e-05
6.000000000000000000e+03 1.975593113456852734e-05 6.784703873563557863e-05 1.504614465375198051e-05 2.525448508094996214e-05 2.094200681312941015e-05 6.784703873563557863e-05 1.504614465375198051e-05 2.525448508094996214e-05
7.000000000000000000e+03 3.631463869169238023e-06 1.015399533343952498e-07 6.170792516968504060e-07 1.617636030459834728e-06 3.565145107131684199e-06 1.015399533343952498e-07 6.170792516968504060e-07 1.617636030459834728e-06
8.000000000000000000e+03 1.934219881150056608e-06 4.827807487117752316e-08 3.432623998378403485e-07 6.261590215217438526e-07 1.925172455230494961e-06 4.827807487117752316e-08 3.432623998378403485e-07 6.261590215217438526e-07
9.000000000000000000e+03 1.291296371164207812e-06 3.077463972545047000e-08 2.483033085809438489e-07 3.692327084081625799e-07 1.303784529227414168e-06 3.077463972545047000e-08 2.483033085809438489e-07 3.692327084081625799e-07
1.000000000000000000e+04 9.390271884512912948e-07 1.860690268529197056e-08 1.896379586696639308e-07 2.532365499519073637e-07 9.500739110990252811e-07 1.860690268529197056e-08 1.896379586696639308e-07 2.532365499519073637e-07
1.100000000000000000e+04 7.020017278591694776e-07 9.727237682000122732e-09 1.391282893337120186e-07 1.832732579032381182e-07 7.114369395821995568e-07 9.727237682000122732e-09 1.391282893337120186e-07 1.832732579032381182e-07
1.200000000000000000e+04 5.159627676221134607e-07 5.426362470473122812e-09 9.418732815902330913e-08 1.288430553358921316e-07 5.225415975473879371e-07 5.426362470473122812e-09 9.418732815902330913e-08 1.288430553358921316e-07
1.300000000000000000e+04 4.223829819238744676e-07 6.033132216032299766e-09 6.729634804969464312e-08 9.984167093080031918e-08 4.210578481433913112e-07 6.033132216032299766e-09 6.729634804969464312e-08 9.984167093080031918e-08
1.400000000000000000e+04 3.053722252843726892e-07 6.381391415288817370e-09 3.785233104736107634e-08 6.458594015157359536e-08 2.975946813421614934e-07 6.381391415288817370e-09 3.785233104736107634e-08 6.458594015157359536e-08
1.500000000000000000e+04 2.646273742357152514e-07 7.287830783297977177e-09 2.688335598577396013e-08 5.453136608934983087e-08 2.494240902706224006e-07 7.287830783297977177e-09 2.688335598577396013e-08 5.453136608934983087e-08
1.600000000000000000e+04 2.237448200048675062e-07 8.228870918003394763e-09 2.252289732496137731e-08 4.828147126545445644e-08 2.080209497989926604e-07 8.228870918003394763e-09 2.252289732496137731e-08 4.828147126545445644e-08
