x,y,z,T,label
0.7739560485559633,0.8894981772890644,0.4775058736277328,298.1723298180874,0
0.4388784397520523,0.5672761042065735,0.7614325631840076,303.19042149267864,0
0.8585979199113825,0.7680340179738187,0.9033278719640531,298.79382346224276,0
0.6973680290593639,0.7571114350952073,0.7206959467183516,298.89762828079597,0
0.09417734788764953,0.9287860720612788,0.9632112235493796,298.0987109778065,0
0.9756223516367559,0.7313996827967579,0.7820051707381772,299.18753062348145,0
0.761139701990353,0.6925447480501767,0.8668014382619265,299.7677878898887,0
0.7860643052769538,0.819781635618555,0.11410407118363719,298.4293166652367,0
0.12811363267554587,0.633231658750423,0.7324135029937877,301.06128747860294,0
0.45038593789556713,0.5698842054769784,0.4400886995273686,303.0915841953239,0
0.37079802423258124,0.7389386370118729,0.5531038024112752,299.0954702563282,0
0.9267649888486018,0.7084446842974426,0.6541024094823568,299.50768038924446,0
0.6438651200806645,0.6162849702644368,0.9698151167055694,301.53530829911335,0
0.82276161327083,0.683755905057564,0.9845780814316246,299.9261718134065,0
0.44341419882733113,0.6831962249131237,0.28822824548790527,299.93662420311136,0
0.2272387217847769,0.6637477822062727,0.7337534974379162,300.3282390715042,0
0.5545847870158348,0.6897320398634645,0.7499835379352686,299.8173103254929,0
0.06381725610417532,0.8428716727279727,0.3464928613130488,298.32074540467323,0
0.8276311719925821,0.6484382372856426,0.12386977486422102,300.67717931793646,0
0.6316643991220648,0.9744289633576702,0.04094696028571976,298.04970399736084,0
0.7580877400853738,0.958174009769089,0.7773431275291786,298.0637653067846,0
0.35452596812986836,0.7404552141500393,0.4896997418169059,299.07768356295196,0
0.9706980243949033,0.6641806025023445,0.9855401694949262,300.3189070050628,0
0.8931211213221977,0.7677173949150016,0.46497345619365305,298.7966832306446,0
0.7783834970737619,0.9242802443868123,0.9779169790738402,298.10539011313625,0
0.19463870785196757,0.826293670280051,0.4115760021940599,298.3958557741438,0
0.4667210037270342,0.9021959139735387,0.7936821505599726,298.1444157852363,0
0.04380376578722878,0.7663611380328701,0.08481927231183206,298.8090317528528,0
0.15428949206754783,0.8164588146338103,0.5554617101377639,298.44731938671526,0
0.6830489532424546,0.6440778070912309,0.8020597869857242,300.78342250121017,0
0.7447621559078171,0.8674465811551454,0.9247016672198887,298.2324414035635,0
0.96750973243421,0.6012022965628592,0.8225830906174316,301.9992204150229,0
0.32582535813815194,0.8473990644092491,0.036970727201174225,298.3025456171376,0
0.3704597060348689,0.930359534162947,0.3727023413067342,298.09647048060765,0
0.4695558112758079,0.5660514186507719,0.04869847231385127,303.2372463924758,0
0.1894713590842857,0.8071898702709599,0.109282291114558,298.50104312084875,0
